NAME,RANKED_IN,IS_RANKED,V_DISPLAY_SCORE,C_RNK_TOT_RETENTION,R_C_AVG_PCT_GRAD_6YR,PELL_GRADRATE,NONPELL_GRADRATE,DIFF_PELL_GRADRATE,R_C_AVG_PCT_RETENTION,PRED_GRAD_RATE,V_DIFF_GRAD_RATES,C_AVG_REPUTATION_SCORE_T,C_PCT_HS_COUNSELOR,FACULTY_RESOURCES_RANK,R_C_PCT_TOT_FAC_PT,V_FAC_TERMINAL,R_C_PCT_CLASSES_1_19,R_C_PCT_CLASSES_GT_50,V_STUDENT_FACULTY_RATIO,C_RNK_TOT_SELECT,R_C_SAT_ACT_PERCENT,R_C_HS_TOP_10_PCT_CLASS,R_C_HS_TOP_25_PCT_CLASS,C_RNK_LN_AVG_EDU_EXPENSES,C_RNK_ALUM_GIVING_RATE_2YR,R_C_ALUM_GIVING_RATE_2YR
mount-mary-college-3869,Regional Universities Midwest,122,34,119,44,32,50,-18,76,47,-8,2.4,,28,57.9,77,86.1,0,11:01,142,17-21,19,44,74,119,
aurora-university-1634,Regional Universities Midwest,123,33,77,57,,,,70,47,10,2.5,,153,58.1,,,,,142,19-24,,,136,80,6.2
framingham-state-2185,Regional Universities North,123,47,120,54,51,55,-4,75,53,1,2.5,,101,81.2,91,46.8,1,14:01,119,950-1130,6,21,138,103,5.2
mansfield-university-3324,Regional Universities North,123,47,95,54,56,58,-1,74,46,11,2.2,,145,87,85,50.1,3,15:01,127,950-1130,8,29,43,143,
mount-st-mary-college-2778,Regional Universities North,123,47,101,57,51,55,-3,77,53,1,2.2,,91,59.8,83,54.8,1,13:01,91,1000-1160,9,29,106,79,7
coe-college-1854,National Liberal Arts Colleges,124,53,132,68,60,72,-12,78,69,-1,3,3.7,115,85.2,92,73.1,1,11:01,93,22-28,27,54,194,136,16.4
friends-university-1918,Regional Universities Midwest,124,32,140,37,28,40,-12,68,45,-10,2.3,,42,45.3,72,75.8,1,10:01,66,19-25,22,48,81,46,8.7
mcdaniel-college-2109,National Liberal Arts Colleges,124,53,101,69,68,68,0,80,59,9,2.7,3.6,147,48.1,89,67.2,0,11:01,137,1060-1230,26,51,186,167,13.3
southwest-baptist-2502,Regional Universities Midwest,124,32,119,47,37,55,-18,66,46,0,2.2,,65,72,60,81.2,2,12:01,79,20-26,24,49,133,93,5.2
southwestern-college-1940,Regional Universities Midwest,124,32,115,44,38,44,-6,64,55,-14,2.1,,91,52.6,64,71.6,2,10:01,129,18-23,11,33,15,112,3.9
stonehill-college-2217,National Liberal Arts Colleges,124,53,76,82,77,81,-4,89,77,3,2.8,3.7,178,81.5,92,48.9,0,12:01,130,1080-1270,22,51,126,147,15.2
university-of-oklahoma-3184,National Universities,124,46,155,67,53,72,-19,88,71,-4,3.1,3.7,131,92.5,84,45.8,11,18:01,107,23-29,36,65,83,62,13.8
university-of-south-florida-1537,National Universities,124,46,72,68,70,71,-1,89,62,9,2.8,3.5,258,84.2,81,29.7,16,22:01,107,1150-1310,37,71,191,83,11.9
university-of-st-thomas-minnesota-2345,National Universities,124,46,112,75,69,79,-9,88,71,6,2.4,3.4,109,78.7,91,38.7,1,14:01,100,24-29,23,55,142,62,13.8
viterbo-university-3911,Regional Universities Midwest,124,32,108,49,,,,76,50,-1,2.7,,147,67.7,,,,,120,20-26,,,136,119,
philadelphia-biblical-3351,Regional Universities North,126,46,60,60,57,60,-3,73,50,8,1.9,,120,63.4,69,69.9,2,12:01,91,880-1125,19,36,106,98,5.5
frostburg-state-university-2072,Regional Universities North,126,46,135,49,47,50,-4,76,48,1,2.5,,64,84.1,78,52.6,2,15:01,119,920-1110,10,29,151,103,5.2
lasell-college-2158,Regional Universities North,126,46,112,54,52,55,-4,76,47,7,2.2,,87,61.9,81,68.5,0,13:01,149,980-1160,2,17,117,57,8.6
lock-haven-university-3323,Regional Universities North,126,46,135,50,52,57,-5,70,46,9,2.3,,42,95.5,88,39.6,6,17:01,139,910-1110,8,27,117,103,5.3
rosemont-college-3360,Regional Universities North,126,46,107,50,64,57,7,68,48,13,2.2,,80,35.1,80,73.5,0,11:01,142,910-1110,,,175,35,11.3
st-thomas-aquinas-2832,Regional Universities North,126,46,118,57,44,60,-15,77,54,0,2.4,,31,63.8,84,71.2,0,12:01,164,880-1110,7,23,151,85,6.9
concordia-college-2346,National Liberal Arts Colleges,127,52,89,72,64,73,-9,83,70,0,2.8,3.5,175,89.1,83,55.7,1,11:01,93,22-28,27,55,149,136,16.5
presbyterian-college-3445,National Liberal Arts Colleges,127,52,136,67,63,70,-7,81,68,0,2.8,3.7,103,88.8,97,65.9,0,12:01,137,21-27,25,62,143,126,17.6
san-diego-state-university-1151,National Universities,127,45,101,71,71,77,-6,89,54,21,2.9,3.8,290,74.1,88,25.8,24,27:01:00,149,1090-1290,31,70,250,168,6.5
st-norbert-college-3892,National Liberal Arts Colleges,127,52,82,72,73,74,-1,84,70,3,2.7,3.4,187,86.2,91,48.9,1,13:01,100,22-27,20,51,149,142,15.8
sweet-briar-college-3742,National Liberal Arts Colleges,127,52,188,61,41,60,-19,58,68,-14,2.1,3.3,14,93.7,93,98.4,0,5:01,160,993-1180,17,32,11,20,36.9
university-of-dayton-3127,National Universities,127,45,112,77,72,80,-8,90,72,7,2.6,3.6,175,78.2,88,36.3,3,15:01,177,24-29,29,61,115,67,13.3
the-catholic-university-of-america-1437,National Universities,129,44,166,69,63,75,-12,85,66,5,2.7,3.7,109,77.2,93,55.6,4,7:01,143,1120-1320,,,79,117,8.9
university-of-alabama-1051,National Universities,129,44,166,68,51,72,-21,87,75,-7,3.2,3.8,198,88.9,81,31.9,22,23:01,100,23-32,39,60,206,19,27.1
